TransactionID,CustomerID,Amount,Date
646,550b30dcabf6bb1100a81db6,434,7/1/2016
791,550b30dcabf6bb1100a81db6,491,8/1/2016
705,553c3a1562068511001a5544,600,7/1/2016
843,553c3a1562068511001a5544,274,8/1/2016
34,554c7f8a001c6b11007c87a3,40,1/1/2016
234,554c7f8a001c6b11007c87a3,28,4/1/2016
341,554c7f8a001c6b11007c87a3,10,5/1/2016
460,554c7f8a001c6b11007c87a3,25,6/1/2016
595,554c7f8a001c6b11007c87a3,76,7/1/2016
746,554c7f8a001c6b11007c87a3,33,8/1/2016
108,5561e8ab723e691100258f6b,18,2/1/2016
54,5562ffd102ad1d11003d0cce,752,2/1/2016
125,5562ffd102ad1d11003d0cce,170,3/1/2016
215,5562ffd102ad1d11003d0cce,117,4/1/2016
324,5562ffd102ad1d11003d0cce,156,5/1/2016
447,5562ffd102ad1d11003d0cce,170,6/1/2016
581,5562ffd102ad1d11003d0cce,203,7/1/2016
578,5563792f5e90da1100dcca70,3,6/1/2016
124,557330595adf341100fa03b3,3,3/1/2016
446,557330595adf341100fa03b3,76,6/1/2016
733,557330595adf341100fa03b3,40,8/1/2016
572,55771c84a3cb0411004dbcea,26,6/1/2016
696,55771c84a3cb0411004dbcea,202,7/1/2016
837,55771c84a3cb0411004dbcea,110,8/1/2016
562,557aeffd34ba6a110037343c,86,6/1/2016
46,557fae2b8088521100099d85,8,1/1/2016
80,557fae2b8088521100099d85,3,2/1/2016
149,557fae2b8088521100099d85,7,3/1/2016
240,557fae2b8088521100099d85,13,4/1/2016
347,557fae2b8088521100099d85,25,5/1/2016
20,55803af13da1e411008e4858,110,1/1/2016
87,5586024c16e4f91100ec022b,158,2/1/2016
8,558c5f866180680e00419041,771,1/1/2016
57,558c5f866180680e00419041,148,2/1/2016
127,558c5f866180680e00419041,83,3/1/2016
218,558c5f866180680e00419041,116,4/1/2016
327,558c5f866180680e00419041,300,5/1/2016
51,5591167e230b620e0036df77,3,1/1/2016
468,5591167e230b620e0036df77,24,6/1/2016
604,5591167e230b620e0036df77,73,7/1/2016
753,5591167e230b620e0036df77,51,8/1/2016
437,5591b40d5594af0e00c736c0,34,5/1/2016
36,559bf676f3c0c10e00c3c2be,36,1/1/2016
143,559bf676f3c0c10e00c3c2be,69,3/1/2016
236,559bf676f3c0c10e00c3c2be,350,4/1/2016
597,559bf676f3c0c10e00c3c2be,55,7/1/2016
748,559bf676f3c0c10e00c3c2be,204,8/1/2016
103,55a416e635d68b0e00730b4b,24,2/1/2016
168,55a416e635d68b0e00730b4b,258,3/1/2016
258,55a416e635d68b0e00730b4b,288,4/1/2016
365,55a416e635d68b0e00730b4b,237,5/1/2016
483,55a416e635d68b0e00730b4b,334,6/1/2016
618,55a416e635d68b0e00730b4b,166,7/1/2016
766,55a416e635d68b0e00730b4b,45,8/1/2016
304,55a73fc8f522b60e0077d86d,93,4/1/2016
401,55a73fc8f522b60e0077d86d,125,5/1/2016
516,55a73fc8f522b60e0077d86d,154,6/1/2016
649,55a73fc8f522b60e0077d86d,105,7/1/2016
795,55a73fc8f522b60e0077d86d,101,8/1/2016
724,55a84d21c258c80e006fa160,35,7/1/2016
860,55a84d21c258c80e006fa160,102,8/1/2016
