date,bus,rail,total_rides
2001-09-19,939442,625612,1565054
2001-09-20,973094,646112,1619206
2001-09-21,967583,626032,1593615
2001-09-22,641096,307331,948427
2001-09-23,361048,190813,551861
2001-09-24,940207,622061,1562268
2001-09-25,968563,638815,1607378
2001-09-26,1028542,639258,1667800
2001-09-27,1024125,642860,1666985
2001-09-28,1024142,645884,1670026
2001-09-29,639464,330008,969472
2001-09-30,412037,219852,631889
2001-10-01,1069361,639795,1709156
2001-10-02,1078342,658020,1736362
2001-10-03,1018388,657170,1675558
2001-10-04,902598,649681,1552279
2001-10-05,1034680,651273,1685953
2001-10-06,628587,326860,955447
2001-10-07,404926,287483,692409
2001-10-08,802729,531294,1334023
2001-10-09,1055377,645072,1700449
2001-10-10,898767,637568,1536335
2001-10-11,1025128,647937,1673065
2001-10-12,1000153,625089,1625242
2001-10-13,515481,273528,789009
2001-10-14,409065,209437,618502
2001-10-15,1037513,627937,1665450
2001-10-16,1022047,634396,1656443
2001-10-17,1036702,641266,1677968
2001-10-18,1017434,646140,1663574
2001-10-19,956423,642121,1598544
2001-10-20,632093,319399,951492
2001-10-21,433014,213638,646652
2001-10-22,1012782,621894,1634676
2001-10-23,1000304,638393,1638697
2001-10-24,867027,625218,1492245
2001-10-25,947047,618401,1565448
2001-10-26,981933,613047,1594980
2001-10-27,582223,291912,874135
2001-10-28,405374,208481,613855
2001-10-29,1019942,623086,1643028
2001-10-30,994503,629005,1623508
2001-10-31,978585,628587,1607172
2001-11-01,1029256,641642,1670898
2001-11-02,1042714,645966,1688680
2001-11-03,648350,315004,963354
2001-11-04,443453,222988,666441
2001-11-05,1057697,629864,1687561
2001-11-06,1044478,638448,1682926
2001-11-07,1033982,640396,1674378
2001-11-08,1004574,636400,1640974
2001-11-09,931849,620257,1552106
2001-11-10,618184,322793,940977
2001-11-11,416118,218931,635049
2001-11-12,812747,527242,1339989
2001-11-13,1026715,641101,1667816
2001-11-14,994462,624162,1618624
2001-11-15,983434,615519,1598953
2001-11-16,1046467,623566,1670033
2001-11-17,653210,354828,1008038
2001-11-18,414683,201199,615882
2001-11-19,999890,600948,1600838
2001-11-20,1005581,612391,1617972
2001-11-21,988420,589664,1578084
2001-11-22,322788,151915,474703
2001-11-23,641780,356646,998426
2001-11-24,504548,253414,757962
2001-11-25,373755,186416,560171
2001-11-26,993754,600439,1594193
2001-11-27,985583,613858,1599441
2001-11-28,981842,614405,1596247
2001-11-29,972155,613392,1585547
2001-11-30,1039082,625037,1664119
2001-12-01,640965,307646,948611
2001-12-02,418878,210748,629626
2001-12-03,1051222,599106,1650328
2001-12-04,1049416,613294,1662710
2001-12-05,1039940,622264,1662204
2001-12-06,1020021,623428,1643449
2001-12-07,1023743,618300,1642043
2001-12-08,620074,315639,935713
2001-12-09,406917,207697,614614
2001-12-10,1005376,597416,1602792
2001-12-11,1010462,614387,1624849
2001-12-12,981259,609660,1590919
2001-12-13,990166,610845,1601011
2001-12-14,982986,600798,1583784
2001-12-15,623138,319051,942189
2001-12-16,407448,213347,620795
2001-12-17,995060,593314,1588374
2001-12-18,1014592,608735,1623327
2001-12-19,958790,591815,1550605
2001-12-20,987827,586572,1574399
2001-12-21,994499,569456,1563955
2001-12-22,586969,268254,855223
2001-12-23,393359,184628,577987
2001-12-24,525908,257022,782930
2001-12-25,218872,93525,312397
2001-12-26,619967,380064,1000031
2001-12-27,690465,436814,1127279
2001-12-28,739404,456879,1196283
2001-12-29,473194,224772,697966
2001-12-30,306871,160102,466973
2001-12-31,650794,321388,972182
2002-01-01,294360,122471,416831
2002-01-02,766853,491630,1258483
2002-01-03,838088,523292,1361380
2002-01-04,858709,528849,1387558
2002-01-05,542470,245820,788290
2002-01-06,370508,177606,548114
2002-01-07,953807,568929,1522736
2002-01-08,973200,585667,1558867
2002-01-09,985622,591671,1577293
2002-01-10,974188,591742,1565930
2002-01-11,1006535,591718,1598253
2002-01-12,565955,266826,832781
2002-01-13,371378,176272,547650
2002-01-14,985931,593642,1579573
2002-01-15,983090,601489,1584579
2002-01-16,955758,608009,1563767
2002-01-17,968715,598282,1566997
2002-01-18,967930,581331,1549261
2002-01-19,556405,273407,829812
2002-01-20,374069,180903,554972
2002-01-21,648994,392312,1041306
2002-01-22,1012565,603877,1616442
2002-01-23,990484,600427,1590911
2002-01-24,1007218,605974,1613192
2002-01-25,1028432,601352,1629784
2002-01-26,611356,283489,894845
2002-01-27,408878,189116,597994
2002-01-28,1009923,595606,1605529
2002-01-29,979719,597598,1577317
2002-01-30,936013,602737,1538750
2002-01-31,879895,602988,1482883
2002-02-01,954707,585087,1539794
2002-02-02,614544,273954,888498
2002-02-03,401958,180019,581977
2002-02-04,988315,576117,1564432
2002-02-05,997471,596800,1594271
2002-02-06,1011650,597747,1609397
2002-02-07,1011915,600731,1612646
2002-02-08,1027036,594502,1621538
2002-02-09,650477,296011,946488
2002-02-10,379613,180097,559710
2002-02-11,985014,592118,1577132
2002-02-12,811567,541814,1353381
2002-02-13,1019675,612626,1632301
2002-02-14,1014122,609706,1623828
2002-02-15,1007654,589737,1597391
2002-02-16,617307,292835,910142
2002-02-17,423922,209261,633183
2002-02-18,759013,458524,1217537
2002-02-19,985390,597374,1582764
2002-02-20,986615,601360,1587975
2002-02-21,977261,603816,1581077
2002-02-22,1016162,592329,1608491
2002-02-23,629609,292764,922373
2002-02-24,421160,199343,620503
2002-02-25,979843,581612,1561455
2002-02-26,933204,587918,1521122
2002-02-27,939542,587701,1527243
2002-02-28,941136,592045,1533181
2002-03-01,973482,593596,1567078
2002-03-02,512767,264847,777614
2002-03-03,331715,174890,506605
2002-03-04,726815,493625,1220440
2002-03-05,978944,588656,1567600
2002-03-06,1008215,593126,1601341
2002-03-07,1008102,594952,1603054
2002-03-08,993813,587766,1581579
2002-03-09,493346,254471,747817
2002-03-10,361758,180401,542159
2002-03-11,1008613,591093,1599706
2002-03-12,1021380,612457,1633837
2002-03-13,1022145,615718,1637863
2002-03-14,1010579,607626,1618205
2002-03-15,1005654,591415,1597069
2002-03-16,615103,342098,957201
2002-03-17,390344,189640,579984
2002-03-18,992913,579486,1572399
2002-03-19,990801,590290,1581091
2002-03-20,993245,591401,1584646
2002-03-21,930667,574802,1505469
2002-03-22,961386,564876,1526262
2002-03-23,617210,290118,907328
2002-03-24,370997,190845,561842
2002-03-25,895573,544841,1440414
2002-03-26,938869,571086,1509955
2002-03-27,989393,580724,1570117
2002-03-28,965734,571056,1536790
2002-03-29,755230,472276,1227506
2002-03-30,616271,268843,885114
2002-03-31,377026,158135,535161
2002-04-01,971162,566861,1538023
2002-04-02,970537,585155,1555692
2002-04-03,1007100,597081,1604181
2002-04-04,995075,600930,1596005
2002-04-05,1014222,613919,1628141
2002-04-06,639707,318104,957811
2002-04-07,355354,180625,535979
2002-04-08,937560,578417,1515977
2002-04-09,1013106,607047,1620153
2002-04-10,1020986,618972,1639958
2002-04-11,1036014,629240,1665254
2002-04-12,917031,591700,1508731
2002-04-13,631465,308737,940202
2002-04-14,438900,210876,649776
2002-04-15,926258,586214,1512472
2002-04-16,899896,599906,1499802
2002-04-17,892185,593532,1485717
2002-04-18,896865,594280,1491145
2002-04-19,905545,591974,1497519
2002-04-20,574009,300177,874186
2002-04-21,356144,190405,546549
2002-04-22,974101,583247,1557348
2002-04-23,1021788,620463,1642251
2002-04-24,918721,602085,1520806
2002-04-25,1000933,626040,1626973
2002-04-26,1026348,615024,1641372
2002-04-27,513069,272746,785815
2002-04-28,365481,201038,566519
2002-04-29,1001321,584792,1586113
2002-04-30,1000608,604417,1605025
2002-05-01,1031532,605198,1636730
2002-05-02,976392,598086,1574478
2002-05-03,1075694,606513,1682207
2002-05-04,660227,312131,972358
2002-05-05,443915,207913,651828
2002-05-06,994227,598141,1592368
2002-05-07,1010608,616111,1626719
2002-05-08,968509,600435,1568944
2002-05-09,1009271,614202,1623473
2002-05-10,1047188,609528,1656716
2002-05-11,492841,252501,745342
2002-05-12,358446,185931,544377
2002-05-13,975822,570031,1545853
2002-05-14,1009365,598752,1608117
2002-05-15,1015551,600667,1616218
2002-05-16,906240,579727,1485967
2002-05-17,991682,583205,1574887
2002-05-18,638862,298727,937589
2002-05-19,419434,204421,623855
2002-05-20,994112,582646,1576758
2002-05-21,1008846,613667,1622513
2002-05-22,999920,618307,1618227
2002-05-23,969174,606199,1575373
2002-05-24,995434,576461,1571895
2002-05-25,558891,270672,829563
2002-05-26,436570,216172,652742
2002-05-27,395210,200876,596086
2002-05-28,959547,588932,1548479
2002-05-29,980049,601576,1581625
2002-05-30,990460,606972,1597432
2002-05-31,1040502,635809,1676311
2002-06-01,667264,371223,1038487
2002-06-02,423135,238648,661783
2002-06-03,1001778,583147,1584925
2002-06-04,915667,575065,1490732
2002-06-05,1005307,602096,1607403
2002-06-06,1044279,611344,1655623
2002-06-07,1036716,606193,1642909
2002-06-08,649574,323142,972716
2002-06-09,446760,228298,675058
2002-06-10,944065,583512,1527577
2002-06-11,969387,604162,1573549
2002-06-12,986714,606658,1593372
2002-06-13,967153,596032,1563185
2002-06-14,980140,605447,1585587
2002-06-15,644968,318379,963347
2002-06-16,456833,225229,682062
2002-06-17,980090,576747,1556837
2002-06-18,996706,619540,1616246
2002-06-19,992928,618449,1611377
2002-06-20,975703,628191,1603894
2002-06-21,979910,616117,1596027
2002-06-22,634013,341170,975183
2002-06-23,444454,232456,676910
2002-06-24,884749,597643,1482392
2002-06-25,926613,600847,1527460
2002-06-26,879533,601333,1480866
2002-06-27,914452,613276,1527728
2002-06-28,934562,650340,1584902
2002-06-29,636792,369705,1006497
2002-06-30,441101,309418,750519
2002-07-01,948966,601509,1550475
2002-07-02,955991,621541,1577532
2002-07-03,1004276,785621,1789897
2002-07-04,441126,279204,720330
2002-07-05,807831,500685,1308516
2002-07-06,597877,324834,922711
2002-07-07,445916,256321,702237
2002-07-08,929870,575055,1504925
2002-07-09,919623,579348,1498971
2002-07-10,941513,591208,1532721
2002-07-11,969657,594276,1563933
2002-07-12,963191,618865,1582056
2002-07-13,624850,324416,949266
2002-07-14,433166,239865,673031
2002-07-15,949705,608087,1557792
2002-07-16,946077,621832,1567909
2002-07-17,931752,595378,1527130
2002-07-18,942643,596288,1538931
2002-07-19,960153,612971,1573124
2002-07-20,635657,339113,974770
2002-07-21,412477,229156,641633
2002-07-22,900537,595784,1496321
2002-07-23,955084,623156,1578240
2002-07-24,945502,617518,1563020
2002-07-25,931679,608190,1539869
2002-07-26,942389,590601,1532990
2002-07-27,595484,327980,923464
2002-07-28,414913,215040,629953
2002-07-29,893147,565324,1458471
2002-07-30,934322,614162,1548484
2002-07-31,912632,603775,1516407
2002-08-01,969159,607964,1577123
2002-08-02,1004199,612785,1616984
2002-08-03,674990,325279,1000269
2002-08-04,451144,234620,685764
2002-08-05,941406,569627,1511033
2002-08-06,955681,592722,1548403
2002-08-07,940727,585313,1526040
2002-08-08,945096,589840,1534936
2002-08-09,968109,592938,1561047
2002-08-10,667701,340015,1007716
2002-08-11,437332,230526,667858
2002-08-12,908503,579800,1488303
